,word,sensorimotor_mod,modality,question
0,crilollering,1.085828,Auditory,Auditory.1
1,whebbling,1.0433769,Auditory,Auditory.1
2,squeping,1.0160509,Auditory,Auditory.1
3,shomples,0.09348554,Auditory,Auditory.1
4,corsenations,0.09946685,Auditory,Auditory.1
5,ancechuttos,-0.0050962334,Auditory,Auditory.1
6,scalilla,0.09862688,Auditory,Auditory.1
0,croapings,1.0068554,Auditory,Auditory.2
1,stroblings,1.0045974,Auditory,Auditory.2
2,thellering,0.98729056,Auditory,Auditory.2
3,ropsta,0.0684688,Auditory,Auditory.2
4,canmiobraine,0.15806468,Auditory,Auditory.2
5,figelled,0.12622795,Auditory,Auditory.2
6,erteycole,0.030482411,Auditory,Auditory.2
0,diturably,0.9656699,Auditory,Auditory.3
1,hularing,0.96547246,Auditory,Auditory.3
2,thrurring,0.9612212,Auditory,Auditory.3
3,sweadles,0.21228516,Auditory,Auditory.3
4,briagra,-0.0015091551,Auditory,Auditory.3
5,flicetock,0.09831029,Auditory,Auditory.3
6,susteries,0.13318995,Auditory,Auditory.3
0,squeanings,1.0117816,Auditory,Auditory.4
1,fluckles,0.9330422,Auditory,Auditory.4
2,thuckeding,0.9167214,Auditory,Auditory.4
3,igmanilating,0.34181583,Auditory,Auditory.4
4,cazzagra,0.021900471,Auditory,Auditory.4
5,incarpritation,0.2498219,Auditory,Auditory.4
6,nusprils,0.09468208,Auditory,Auditory.4
0,susteries,0.98816085,Gustatory,Gustatory.1
1,ancechuttos,0.98296213,Gustatory,Gustatory.1
2,fifuffies,0.9725727,Gustatory,Gustatory.1
3,fleceils,0.24692957,Gustatory,Gustatory.1
4,thrurring,0.01830756,Gustatory,Gustatory.1
5,brolorous,0.49728912,Gustatory,Gustatory.1
6,frumbered,-0.02560395,Gustatory,Gustatory.1
0,ascodiments,0.9427344,Gustatory,Gustatory.2
1,boincole,0.9230422,Gustatory,Gustatory.2
2,bambeagna,0.9150879,Gustatory,Gustatory.2
3,myrticates,0.15342122,Gustatory,Gustatory.2
4,figels,0.027846806,Gustatory,Gustatory.2
5,flicetock,0.17097029,Gustatory,Gustatory.2
6,alphociration,0.009458214,Gustatory,Gustatory.2
0,erpechitades,0.9070376,Gustatory,Gustatory.3
1,marreccone,0.898686,Gustatory,Gustatory.3
2,aspintades,0.8742541,Gustatory,Gustatory.3
3,rehotes,0.04862415,Gustatory,Gustatory.3
4,scalilla,0.16741812,Gustatory,Gustatory.3
5,selorine,0.33943528,Gustatory,Gustatory.3
6,diturably,0.016600505,Gustatory,Gustatory.3
0,ipanelle,0.866526,Gustatory,Gustatory.4
1,cazzagra,0.84677947,Gustatory,Gustatory.4
2,citocoli,0.84191877,Gustatory,Gustatory.4
3,seasslins,0.11813162,Gustatory,Gustatory.4
4,thuckeding,0.02635125,Gustatory,Gustatory.4
5,erdellation,0.049707122,Gustatory,Gustatory.4
6,incarpritation,0.030682288,Gustatory,Gustatory.4
0,sweadles,0.6886978,Haptic,Haptic.1
1,seasslins,0.610929,Haptic,Haptic.1
2,pragingness,0.59776354,Haptic,Haptic.1
3,crilollering,-0.03674823,Haptic,Haptic.1
4,thuckeding,0.05805157,Haptic,Haptic.1
5,fluckles,-0.04599832,Haptic,Haptic.1
6,cazzagra,0.32132033,Haptic,Haptic.1
0,dabbedness,0.5977137,Haptic,Haptic.2
1,briagra,0.5849769,Haptic,Haptic.2
2,shomples,0.5592264,Haptic,Haptic.2
3,margrel,0.31915203,Haptic,Haptic.2
4,aspintades,0.29113793,Haptic,Haptic.2
5,squeanings,-0.047788605,Haptic,Haptic.2
6,whebbling,-0.017534196,Haptic,Haptic.2
0,fleceils,0.5473845,Haptic,Haptic.3
1,corsenations,0.5313612,Haptic,Haptic.3
2,scalilla,0.53130996,Haptic,Haptic.3
3,caeduseousness,0.038599566,Haptic,Haptic.3
4,ipanelle,0.33459312,Haptic,Haptic.3
5,ascodiments,0.39731148,Haptic,Haptic.3
6,lusidour,0.14064677,Haptic,Haptic.3
0,flicetock,0.5245836,Haptic,Haptic.4
1,gormidion,0.5240029,Haptic,Haptic.4
2,nusprils,0.52337766,Haptic,Haptic.4
3,susteries,0.26685226,Haptic,Haptic.4
4,fifuffies,0.31467295,Haptic,Haptic.4
5,operrhaging,0.20761557,Haptic,Haptic.4
6,grumbered,0.05058957,Haptic,Haptic.4
0,caeduseousness,0.7937894,Interoceptive,Interoceptive.1
1,fereniration,0.75668836,Interoceptive,Interoceptive.1
2,alphociration,0.72022873,Interoceptive,Interoceptive.1
3,acchots,0.08394134,Interoceptive,Interoceptive.1
4,lusidour,0.19625011,Interoceptive,Interoceptive.1
5,ascodiments,0.10489552,Interoceptive,Interoceptive.1
6,selorine,0.18059775,Interoceptive,Interoceptive.1
0,grumbered,0.7032218,Interoceptive,Interoceptive.2
1,igmanilating,0.6911721,Interoceptive,Interoceptive.2
2,urpharities,0.69320345,Interoceptive,Interoceptive.2
3,bambeagna,0.12036456,Interoceptive,Interoceptive.2
4,ancechuttos,0.12972705,Interoceptive,Interoceptive.2
5,scayons,0.039349124,Interoceptive,Interoceptive.2
6,tygranate,0.08819076,Interoceptive,Interoceptive.2
0,frumbered,0.69433665,Interoceptive,Interoceptive.3
1,menaprigication,0.68688405,Interoceptive,Interoceptive.3
2,canmiobraine,0.680961,Interoceptive,Interoceptive.3
3,ipanelle,0.13025068,Interoceptive,Interoceptive.3
4,squeanings,0.077325225,Interoceptive,Interoceptive.3
5,briagra,0.11849435,Interoceptive,Interoceptive.3
6,thrurring,0.23955788,Interoceptive,Interoceptive.3
0,incarpritation,0.67394793,Interoceptive,Interoceptive.4
1,operrhaging,0.66708755,Interoceptive,Interoceptive.4
